"datahora";"semana_epidem";"casos_acum";"obitos_acum"
2023-10-01;"2023-40";771139306;6690863
2023-10-08;"2023-41";771191203;6691014
2023-10-15;"2023-42";771191203;6961014
2023-10-22;"2023-43";771627119;6975732
2023-10-29;"2023-44";771679618;6977023
2023-11-05;"2023-45";771743786;6977655
2023-11-12;"2023-46";771820937;6978175
2023-11-19;"2023-47";771820937;6979786
2023-11-26;"2023-48";771952838;6981263
2023-12-03;"2023-49";772052752;6985278
2023-12-10;"2023-50";772138818;6985964
2023-12-17;"2023-51";772838745;6988679
2023-12-24;"2023-52";772838745;6988679
2023-12-31;"2024-01";773119173;6990067
2024-01-07;"2024-02";773819856;7010568
2024-01-14;"2024-03";773819856;7010568
2024-01-21;"2024-04";774075242;7012986
2024-01-28;"2024-05";774291287;7019704
2024-02-04;"2024-06";774395593;7023271
2024-02-11;"2024-07";774469939;7026465
2024-02-18;"2024-08";774593066;7028881
2024-02-25;"2024-09";774631444;7031216
2024-03-03;"2024-10";774699366;7033430
2024-03-10;"2024-11";774699366;7033430
2024-03-17;"2024-12";774889074;7038623
2024-03-24;"2024-13";774889074;7038623
2024-03-31;"2024-14";774954393;7040264
2024-04-07;"2024-15";775132086;7042222
2024-04-14;"2024-16";775251779;7043660
2024-04-21;"2024-17";775293630;7044637
2024-04-28;"2024-18";775335916;7045569
2024-05-05;"2024-19";775364261;7046320
2024-05-12;"2024-20";775379864;7047396
2024-05-19;"2024-21";775431269;7047741
2024-05-26;"2024-22";775481326;7049376
2024-06-02;"2024-23";775522404;7049617
2024-06-09;"2024-24";775522404;7050201
2024-06-16;"2024-25";775583309;7050691
2024-06-23;"2024-26";775615736;7051323
2024-06-30;"2024-27";775645882;7051876
2024-07-07;"2024-28";775678432;7052472
2024-07-14;"2024-29";775754322;7053902
2024-07-21;"2024-30";775673955;7053524
2024-07-28;"2024-31";775686716;7054093
2024-08-04;"2024-32";775731698;7054891
2024-08-11;"2024-33";775830200;7056108
2024-08-18;"2024-34";775867547;7057145
2024-08-25;"2024-35";775917102;7058381
2024-09-01;"2024-36";776007137;7059612
2024-09-08;"2024-37";776007137;7059612
2024-09-15;"2024-38";776137815;7061330
2024-09-22;"2024-39";776205140;7064380
